51300020699,adb,181,233
51300023165,bca,260,141
51300110474,cde,125,199
51300112932,cde,232,167
51300132219,acf,45,94
51300204690,cgc,271,6
51300210370,dca,299,280
51300221621,gca,23,14
51300227579,dea,115,11
51300227770,agb,6,157
51300268442,gdc,199,146
51300273539,cfg,187,207
51300313949,ggf,231,133
51300337379,cbb,287,218
51300343909,cea,204,112
51300344336,dge,271,120
51300357262,bbe,64,119
51300357451,edd,209,250
51300391553,fec,61,86
51300418824,fde,291,32
51300475501,cdd,85,49
51300539880,fca,210,160
51300572637,dce,205,276
51300584679,aeg,124,146
51300598281,dcg,20,230
51300609297,caa,274,180
51300616204,bgb,276,189
51300627086,bcg,295,85
51300666910,fdd,74,75
51300783115,dgg,25,258
51300814537,agc,188,220
51300840892,dag,249,137
51300847753,ccf,105,224
51300873073,ecg,277,227
51300888667,gde,203,27
51300923922,ddf,236,171
51300929639,ged,143,169
51300967083,bbg,108,270
51300969280,gba,184,214
51300969556,ded,116,243
51300994379,egg,50,279
51301012502,dab,274,127
51301018718,ede,77,88
51301067420,dbc,29,159
51301075025,gcb,121,179
51301080704,bdb,80,230
51301087438,feg,59,239
51301106156,aba,270,52
51301126655,gee,274,151
51301170192,ebc,210,10
51301284691,gfd,72,245
51301301479,cgf,266,179
51301308007,gec,62,42
51301348784,ccc,97,43
51301366162,eaa,168,228
51301431443,bbf,248,164
51301456097,fba,280,152
51301477196,ebe,276,146
51301523962,caf,180,206
51301526673,caa,216,156
51301528228,fgc,258,210
51301555988,eaf,174,229
51301567910,aee,199,108
51301578981,abb,116,286
51301589662,bcf,295,215
51301615653,dae,31,25
51301733190,fgc,137,235
51301736234,cbe,234,80
51301741852,bcf,45,255
51301791433,gac,251,58
51301803962,ggf,156,113
51301805110,cgb,234,193
51301812517,fcd,171,145
51301831373,bac,188,114
51301853270,eeb,45,163
51301958037,bbd,54,235
51301961289,aef,292,230
51301987825,faa,140,251
51301998459,fgg,293,203
51302026402,ccf,89,194
51302033105,ced,31,134
51302121585,aag,143,67
51302196927,bdd,206,227
51302201382,bce,207,21
51302211175,feb,49,274
51302214667,gfb,22,89
51302241990,bac,170,103
51302271613,fda,50,214
51302330997,fdf,270,273
51302337491,agd,33,201
51302338073,ddf,90,138
51302382256,ace,124,75
51302410450,gcd,138,153
51302423939,edb,161,247
51302436176,gaa,273,29
51302444404,cef,226,173
51302469253,bfd,254,40
51302497052,cdf,193,146
51302498493,cad,78,215
51302515140,fbd,237,90
51302531135,cdd,49,54
51302585179,afg,183,62
51302610334,gee,56,134
51302624925,ccg,122,213
51302625041,fdd,19,84
51302628867,fab,13,262
51302633057,gbg,154,292
51302681609,gfg,106,269
51302700667,fdd,157,68
51302769526,daa,290,152
51302786535,gfb,181,102
51302793360,ced,81,112
51302821199,bba,143,213
51302827892,bgf,177,6
51302837317,ggg,112,133
51302842251,dcb,13,153
51302854648,gfe,243,231
51302893341,deb,198,205
51302942867,ceb,219,159
51302964096,gcf,259,143
51302984649,edb,70,288
51303007108,bfe,102,45
51303016001,gbg,274,344
